Značka,Model,Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW)
Volkswagen,Passat,2014,198000,199000,Benzín,Automatická,90
Skoda,Octavia,2006,384351,70000,Nafta,Automatická,103
Renault,Grand Scenic,2014,153627,189900,LPG + benzín,Manuální,81
Daewoo,Matiz,2004,150000,35000,LPG + benzín,Manuální,47
Skoda,Octavia,2009,251645,85000,Nafta,Manuální,77
Mazda,5,2009,168744,79900,Benzín,Manuální,107
Skoda,Fabia,2006,186949,45000,Benzín,Manuální,47
Skoda,Rapid,2015,112751,180000,Benzín,Manuální,81
Renault,Twingo,2012,40000,79990,Benzín,Manuální,55
Audi,A6 Avant,2008,308000,150000,Nafta,Automatická,171
Skoda,Fabia,2018,153738,165000,Benzín,Manuální,70
Skoda,Octavia,1999,168626,40000,Benzín,Manuální,110
Volkswagen,Touran,2011,246757,199800,Nafta,Manuální,103
Volkswagen,Golf,1990,212295,180000,Benzín,Manuální,72
Bmw,Rada 1,2008,198130,159900,Benzín,Manuální,125
Ford,Focus,2013,114104,130000,Benzín,Manuální,74
Skoda,Octavia,2009,222874,89990,Benzín,Manuální,75
Skoda,Fabia,2013,158324,99000,Benzín,Manuální,51
Skoda,Superb,2012,364274,111000,Nafta,Automatická,103
Skoda,Fabia,2010,289878,45000,Nafta,Manuální,59
Volkswagen,Caddy,2013,263974,139000,Benzín,Manuální,63
Skoda,Roomster,2011,93000,165000,Benzín,Manuální,63
Bmw,X3,2008,206000,165000,Nafta,Automatická,130
Skoda,Fabia,2016,165453,165000,Benzín,Manuální,81
Daihatsu,Sirion,2008,143897,45000,Benzín,Manuální,67
Peugeot,5008,2012,191119,156000,Nafta,Manuální,110
Skoda,Octavia,2007,370210,80000,Nafta,Manuální,103
Skoda,Roomster,2012,159781,155000,Benzín,Manuální,77
Skoda,Roomster,2008,133300,50000,Benzín,Manuální,63
Volkswagen,Golf,2010,140000,140000,Benzín,Manuální,90
Toyota,Land Cruiser,2000,311536,170000,Nafta,Manuální,92
Honda,Civic,2014,248212,199900,Benzín,Manuální,104
Volkswagen,Caddy,2011,112000,179000,Benzín,Manuální,63
Mazda,5,2005,185600,45000,Benzín,Manuální,85
Skoda,Citigo,2017,49000,195000,Benzín,Manuální,44
Seat,Alhambra,2002,348196,39000,Nafta,Manuální,85
Skoda,Superb,2012,260000,166000,Nafta,Manuální,103
Skoda,Octavia,2014,229000,154000,Nafta,Manuální,77
